p_val	avg_log2FC	pct.1	pct.2	p_val_adj
LGALS1	0	2.61905180380986	0.968	0.41	0
GAS6	0	2.25230657223403	0.752	0.197	0
MIR99AHG	0	3.5316922100822	0.831	0.276	0
MFAP4	0	4.21411863507247	0.579	0.025	0
PLPP3	0	2.19239048824709	0.781	0.228	0
ABCA8	0	6.27642557640375	0.565	0.013	0
SMIM3	0	2.57697759172685	0.689	0.138	0
COL4A1	0	2.55543775567499	0.699	0.149	0
GGT5	0	2.98660778750436	0.658	0.112	0
FRZB	0	4.31985674303213	0.573	0.027	0
S100A4	0	1.48537706263486	0.88	0.335	0
PTPRG	0	1.82470913896496	0.856	0.312	0
LMO3	0	5.36343093288266	0.554	0.012	0
KANK2	0	3.25158495589969	0.603	0.061	0
LTBP4	0	3.98942792064054	0.661	0.12	0
ALDH1A1	0	3.31065183517971	0.595	0.056	0
ADIRF	0	2.02547038433465	0.942	0.404	0
CALD1	0	3.10267216132659	0.994	0.457	0
COX4I2	0	4.16296030787166	0.568	0.033	0
PHLDA1	0	3.38366996631978	0.659	0.125	0
ACTA2	0	4.05669319031696	0.636	0.104	0
RCAN2	0	4.46945731763275	0.58	0.048	0
GSN	0	1.51445816242915	0.887	0.36	0
PRKCA	0	2.72307123821377	0.748	0.221	0
PMP22	0	2.41793021940843	0.69	0.165	0
PALLD	0	1.84365530862962	0.768	0.246	0
RGS5	0	4.10187719093396	0.606	0.086	0
LGALS3BP	0	2.36786419430959	0.769	0.252	0
SELENOM	0	2.41369701051414	0.889	0.372	0
TENT5A	0	2.48012571911611	0.727	0.212	0
SETBP1	0	2.64667737353851	0.775	0.26	0
NEGR1	0	4.86941897901514	0.541	0.034	0
SYNE1	0	2.56087746539148	0.718	0.211	0
LINC01088	0	3.36813514003651	0.615	0.11	0
HSPB6	0	3.44596350330597	0.534	0.029	0
MEIS1	0	3.81300911986246	0.574	0.069	0
MGP	0	2.97355602966041	0.966	0.461	0
LMO4	0	2.01017027570167	0.824	0.32	0
ARHGAP6	0	1.67668542398022	0.786	0.283	0
SERPINF1	0	3.45740694765511	0.692	0.189	0
TNS1	0	2.68683330181584	0.664	0.162	0
RBMS3	0	1.69930630866982	0.925	0.423	0
NEXN	0	3.6811182305483	0.585	0.085	0
FBN1	0	3.8154929327928	0.572	0.073	0
PDE5A	0	3.41047273504047	0.584	0.086	0
TAGLN	0	3.43590224299347	0.7	0.202	0
LMOD1	0	4.37171886038987	0.521	0.024	0
C11orf96	0	3.42857943219447	0.636	0.139	0
PDZRN4	0	7.11142709501187	0.502	0.012	0
GEM	0	3.71824528281813	0.562	0.073	0
MXRA8	0	4.54327171677769	0.507	0.018	0
MIR100HG	0	3.98065107389379	0.533	0.046	0
ECM1	0	4.7210114031053	0.51	0.023	0
EDNRA	0	5.45779197621083	0.506	0.019	0
PID1	0	3.16085340363934	0.623	0.137	0
SSPN	0	3.13296125955878	0.59	0.104	0
MEG3	0	3.26133198047558	0.58	0.097	0
NDN	0	3.06954587236744	0.595	0.112	0
BST2	0	1.47261733719907	0.842	0.359	0
FBLN1	0	4.48828059046011	0.62	0.14	0
EBF1	0	2.21751118223041	0.662	0.184	0
NR2F1-AS1	0	4.22237583322589	0.522	0.046	0
ITGA1	0	2.06697470599948	0.616	0.143	0
ADGRL2	0	2.08657614429069	0.732	0.262	0
PKIG	0	1.69926623435931	0.742	0.272	0
EPS8	0	2.44531763913018	0.781	0.312	0
SPOCK3	0	5.02168447564598	0.492	0.023	0
PRKAR2B	0	2.49612762106703	0.622	0.157	0
AOPEP	0	1.80381826786509	0.835	0.37	0
PCDH9	0	4.32402886960711	0.524	0.062	0
PRELP	0	4.7083450188154	0.475	0.013	0
RRAS	0	2.01636684939291	0.73	0.269	0
ECRG4	0	3.81311621441814	0.508	0.052	0
CTSK	0	4.03481076289993	0.483	0.027	0
TIMP2	0	1.5647138689613	0.743	0.289	0
OLFML3	0	3.70527407811237	0.498	0.047	0
ADGRA2	0	4.42087123676637	0.477	0.026	0
IGF1	0	4.19291233818251	0.535	0.086	0
RND3	0	2.47748899966866	0.619	0.172	0
RAB34	0	2.17757237602363	0.632	0.185	0
SLIT3	0	5.17522728988495	0.475	0.028	0
LRP1	0	2.76004747953062	0.57	0.123	0
CFD	0	4.10243472551712	0.644	0.199	0
VSTM4	0	4.56567001646984	0.476	0.031	0
NDUFA4L2	0	3.86428321951765	0.482	0.038	0
TGFB1I1	0	3.19184762855874	0.514	0.07	0
FBLIM1	0	3.44060407865118	0.536	0.094	0
THY1	0	2.68290714060946	0.566	0.124	0
ARHGAP42	0	3.74985649922061	0.533	0.092	0
EPHX1	0	1.96840479906245	0.734	0.294	0
MMP2	0	3.94721634838548	0.503	0.064	0
GSTM3	0	1.81749539923916	0.75	0.312	0
CYGB	0	3.87746822826896	0.479	0.041	0
TUBA1A	0	1.81828244856263	0.811	0.374	0
FERMT2	0	1.92434554494304	0.717	0.281	0
PLTP	0	1.34229144168487	0.577	0.141	0
DDR2	0	2.59741824299871	0.545	0.111	0
PCDH10	0	5.16528517077546	0.453	0.019	0
CXCL12	0	2.2572665802218	0.511	0.078	0
RASL11A	0	3.43269900709881	0.516	0.084	0
TRPC4	0	5.83212645410692	0.442	0.01	0
CHN1	0	3.07043853159806	0.514	0.083	0
ATRNL1	0	5.91682950065163	0.45	0.019	0
LARGE1	0	2.22682206882278	0.692	0.262	0
TIMP1	0	2.93143526861635	0.958	0.528	0
NDRG2	0	1.98242541619567	0.68	0.252	0
LAMA4	0	3.85795499381763	0.473	0.045	0
TPM1	0	1.85022026355942	0.885	0.457	0
CCDC102B	0	4.66986061440961	0.491	0.063	0
CACNB2	0	3.61125472079465	0.579	0.154	0
IFITM3	0	1.46338660573221	0.962	0.537	0
DAAM2	0	5.28439160821415	0.437	0.014	0
RNF152	0	3.82713188980961	0.542	0.12	0
NOTCH3	0	4.75287338009485	0.46	0.038	0
CFH	0	2.86439573727689	0.509	0.088	0
HIGD1B	0	4.11323946094207	0.455	0.034	0
NOVA1	0	3.71455728915729	0.49	0.07	0
PAGE4	0	3.36127743758941	0.519	0.102	0
EFEMP2	0	2.70519614060606	0.535	0.122	0
SDC2	0	2.50077345207825	0.548	0.139	0
PDGFRA	0	5.17809946942394	0.421	0.012	0
ADAMTS1	0	2.93717810254758	0.53	0.122	0
LRFN5	0	6.68421587419784	0.414	0.006	0
PODN	0	4.24501493324346	0.433	0.026	0
ANGPT1	0	3.32247297753254	0.477	0.07	0
ADCY3	0	3.59310744956004	0.473	0.067	0
RORA	0	2.24252609957932	0.823	0.42	0
SEMA5A	0	3.88289298586197	0.453	0.051	0
ABCC9	0	4.885881605835	0.416	0.015	0
LINC00882	0	4.60268973146977	0.469	0.069	0
TMEM47	0	2.44851120926972	0.505	0.106	0
AC063944.1	0	6.61112560281736	0.416	0.018	0
PTEN	0	1.68421294480288	0.834	0.436	0
EDNRB	0	1.62267921063975	0.492	0.095	0
EDIL3	0	3.23889636712505	0.435	0.039	0
EYA4	0	6.71719808012089	0.402	0.006	0
MKX	0	5.45923396468012	0.408	0.013	0
TMEM100	0	5.3334908124907	0.406	0.013	0
TCEAL4	0	1.33547704866536	0.882	0.489	0
RUNX1T1	0	2.31257298177722	0.49	0.1	0
EMILIN1	0	4.97552325322961	0.4	0.011	0
COL5A1	0	3.99161999768032	0.423	0.036	0
TBX2	0	4.22481119512822	0.416	0.029	0
SPRY2	0	3.12549133365928	0.524	0.138	0
HSD11B1	0	4.62053435232016	0.416	0.031	0
CPED1	0	2.73258570259325	0.473	0.088	0
TMEM132C	0	6.81478346978996	0.391	0.007	0
PRR16	0	2.12710076572003	0.479	0.099	0
PTGDS	0	4.02829299269163	0.545	0.165	0
ADCY5	0	5.06591147095275	0.39	0.011	0
LURAP1L	0	4.31740649961397	0.421	0.042	0
FGF7	0	4.53917884546358	0.401	0.023	0
PLXDC1	0	2.5079065911367	0.444	0.066	0
LPAR1	0	3.30288113024013	0.456	0.079	0
CNTN1	0	5.54686834693299	0.387	0.01	0
SFRP2	0	4.59282208975786	0.395	0.019	0
NPAS3	0	3.20290679827785	0.459	0.083	0
SGIP1	0	4.16896779466476	0.405	0.03	0
EYA1	0	5.88080926085502	0.384	0.011	0
NTRK3	0	5.05547671261519	0.392	0.02	0
RRAD	0	4.72128726918433	0.403	0.033	0
FBLN2	0	4.63477141860561	0.386	0.018	0
BICC1	0	3.21623545815883	0.483	0.115	0
FIGN	0	4.68202150287537	0.417	0.05	0
DOK6	0	4.77657766413666	0.383	0.016	0
FAM162B	0	4.77441374356574	0.378	0.013	0
AXL	0	1.96179482123388	0.455	0.091	0
MMP23B	0	4.35239359281203	0.381	0.018	0
GSTM5	0	3.3237966125925	0.39	0.027	0
LAPTM4A	0	1.32225627747274	0.905	0.542	0
GJA4	0	4.40429512795169	0.39	0.03	0
MSC-AS1	0	4.40756873948677	0.381	0.021	0
ITGB1	0	1.43432893493363	0.942	0.582	0
SRPX	0	4.17851318772799	0.398	0.039	0
PRICKLE2	0	3.63164491633089	0.416	0.057	0
CDH11	0	3.6865160766344	0.403	0.045	0
GFPT2	0	3.02754665105189	0.455	0.097	0
OAF	0	3.54626886712754	0.411	0.053	0
GLT8D2	0	3.53124879723401	0.392	0.034	0
CYP1B1	0	3.13127337007915	0.405	0.049	0
DYNC1I1	0	4.44051002529074	0.401	0.045	0
PCSK5	0	2.9164543420845	0.449	0.095	0
HELLPAR	0	3.99655970224492	0.377	0.023	0
GPC3	0	4.90675031976011	0.377	0.023	0
C1QTNF1	0	3.76535634056249	0.387	0.034	0
RCN3	0	3.1101204996162	0.413	0.06	0
PCDH18	0	5.07581789360898	0.362	0.013	0
MRVI1	0	3.8317986558512	0.366	0.017	0
LGI4	0	5.03245245500921	0.364	0.015	0
DPT	0	4.21944330207298	0.366	0.018	0
TWIST2	0	4.46540906318508	0.371	0.023	0
OSR2	0	4.17912287908041	0.383	0.036	0
RGN	0	3.8597217986713	0.38	0.034	0
EFHD1	0	3.60536990033527	0.41	0.066	0
LINC02147	0	3.87754614303315	0.374	0.031	0
HMGCLL1	0	5.48288747570948	0.35	0.008	0
ADAMTS12	0	5.70095259407145	0.348	0.009	0
FLRT2	0	4.2848788921024	0.369	0.031	0
KCNT2	0	5.41800375744362	0.347	0.011	0
OGN	0	3.89009779971086	0.357	0.021	0
SULF1	0	3.47183238431169	0.38	0.045	0
INAFM1	0	2.96983922075091	0.414	0.081	0
LRP1B	0	4.74674811085701	0.362	0.031	0
BMP4	0	3.8202814325474	0.362	0.031	0
HPSE2	0	4.77712537447001	0.352	0.022	0
GJC1	0	5.0104861271162	0.348	0.02	0
RGS7BP	0	4.01559018650249	0.36	0.034	0
DIO2	0	3.66354029832847	0.343	0.018	0
KCNJ8	0	5.60542916125401	0.333	0.01	0
S100A6	0	1.93378607488535	0.969	0.647	0
CACNA1D	0	3.85047248729516	0.395	0.075	0
DMD	0	3.85550914268542	0.38	0.06	0
CDH10	0	6.58900148133099	0.324	0.006	0
HEYL	0	5.2280663932265	0.327	0.01	0
SMOC1	0	5.15580160272652	0.324	0.01	0
SEMA3E	0	4.21959256783445	0.338	0.025	0
COL5A3	0	5.31951093545568	0.324	0.011	0
AC012409.2	0	6.08680693111968	0.323	0.011	0
FAM153B	0	5.14028717015531	0.327	0.016	0
GUCY1A2	0	4.20733652472707	0.333	0.022	0
IL34	0	3.65022060580569	0.357	0.046	0
PCOLCE2	0	4.52567233189762	0.325	0.015	0
NELL2	0	2.71095682507422	0.353	0.045	0
SEPTIN7	0	1.59493346960528	0.945	0.637	0
PLA2G5	0	4.94038318119484	0.343	0.036	0
EGFLAM	0	4.2672315238167	0.348	0.041	0
ISLR	0	2.93262964118839	0.338	0.032	0
TGFB2	0	3.25938958188047	0.359	0.053	0
GREB1L	0	4.9453689696215	0.33	0.024	0
NFASC	0	4.43940794668787	0.322	0.022	0
S1PR3	0	4.7084674544834	0.322	0.022	0
RASL12	0	4.60770044926027	0.31	0.014	0
HS6ST2	0	5.80711178006298	0.299	0.006	0
NLGN1	0	4.08246114619214	0.329	0.038	0
TRHDE	0	6.10877493977554	0.296	0.006	0
CD81	0	1.36719629060887	0.956	0.666	0
CARMN	0	5.00385987976952	0.301	0.013	0
PAMR1	0	5.22914373435168	0.299	0.011	0
CXCL13	0	4.15962102393557	0.317	0.031	0
CST3	0	1.22204945779164	0.982	0.696	0
KCNE4	0	4.52200156650212	0.309	0.023	0
WFDC1	0	3.92590069998135	0.301	0.016	0
SPON1	0	3.57517388744196	0.308	0.024	0
SRD5A2	0	5.12554697615586	0.292	0.011	0
TPPP3	0	3.6427199175629	0.308	0.027	0
LINC01082	0	3.58048231009552	0.289	0.009	0
MFAP2	0	3.45000975529322	0.312	0.035	0
FBLN5	0	2.5631691165775	0.309	0.033	0
MAMDC2	0	2.98042858569499	0.309	0.035	0
PGR	0	5.45209356576347	0.28	0.006	0
MMP16	0	5.15287777052003	0.285	0.011	0
CD63	0	1.28092315496073	0.966	0.694	0
ECM2	0	4.21744259934881	0.285	0.015	0
DENND2A	0	3.9049191970126	0.297	0.028	0
GFRA1	0	4.75531494298699	0.275	0.007	0
COL13A1	0	4.31824337937305	0.292	0.024	0
CLMP	0	4.60309164518454	0.282	0.014	0
OLFML1	0	4.02412410827478	0.275	0.009	0
SSTR2	0	5.01616596290966	0.276	0.011	0
PWWP3B	0	5.64082123784014	0.27	0.006	0
COL25A1	0	4.72362329269479	0.296	0.033	0
MRGPRF	0	5.08555777901066	0.267	0.006	0
ABCA6	0	5.23816233444291	0.273	0.012	0
MUSTN1	0	4.34629781193178	0.277	0.017	0
ENPEP	0	5.88783895045272	0.267	0.008	0
AC010478.1	0	4.81533246567101	0.268	0.009	0
LINC00989	0	5.66706386416509	0.269	0.011	0
DIO3OS	0	4.14122155730445	0.268	0.011	0
NGF	0	6.44986902016311	0.263	0.007	0
AVPR1A	0	5.47918403414212	0.263	0.007	0
HTRA3	0	4.27512185252781	0.265	0.011	0
CES1	0	4.48314307512125	0.262	0.008	0
LRRC17	0	3.71794522084112	0.282	0.028	0
ANO4	0	5.39340161883942	0.279	0.026	0
FHL5	0	4.10615606291575	0.271	0.02	0
WNT2	0	5.07311680904688	0.253	0.005	0
FAM153A	0	3.98280396770161	0.263	0.018	0
TMEM45A	0	3.53008147628867	0.268	0.025	0
PTH1R	0	5.01562447756434	0.253	0.011	0
COL4A4	0	3.86102384276496	0.26	0.02	0
CHRDL1	0	4.26103705737686	0.243	0.008	0
GALNT13	0	6.20791512777401	0.236	0.004	0
FST	0	5.04895599392594	0.233	0.006	0
NRK	0	4.73549134285182	0.244	0.019	0
KCNIP1	0	4.38675284027277	0.238	0.014	0
ADAMTS2	0	3.86117800706677	0.24	0.016	0
RPRM	0	4.47834807376547	0.222	0.006	0
FAIM2	0	3.62719023546368	0.227	0.011	0
HS3ST3A1	0	4.33872099227062	0.226	0.012	0
TARID	0	6.36027899243181	0.215	0.006	0
FGF10	0	5.20155115374784	0.208	0.004	0
HEPH	0	4.7371869456723	0.21	0.007	0
LINC02456	0	6.67536693370454	0.201	0.003	0
FIBIN	0	4.30691069639701	0.205	0.007	0
TCEAL7	0	4.6620422889452	0.208	0.01	0
LINC01197	0	4.59780370878676	0.201	0.008	0
SGCG	0	4.98279280878713	0.19	0.004	0
REM1	0	4.76373294414497	0.182	0.005	0
AL591501.1	0	5.52807903779297	0.172	0.004	0
RPS28	0	-1.20186550641762	0.98	0.962	0
FAM153CP	1.97626258336499e-323	2.87092681148517	0.462	0.107	5.22681928048372e-319
FOXF2	1.58101006669199e-322	5.55105168204396	0.17	0.004	4.18145542438697e-318
EPHA7	2.56914135837448e-322	3.7181481324488	0.397	0.078	6.79486506462883e-318
LTBP1	3.38929033047095e-321	3.04804557678112	0.493	0.13	8.96399506602957e-317
FABP5	1.27370123497873e-320	2.37837205514189	0.534	0.147	3.36868502627175e-316
TBX2-AS1	5.9040844678029e-320	4.11079517950211	0.298	0.037	1.56151226004451e-315
JAG1	8.27955209300761e-320	2.38446231506791	0.623	0.214	2.18977593755865e-315
ROR1	8.14704368679299e-319	2.99700336879272	0.349	0.054	2.15473011428301e-314
HSPB2	1.00862513467199e-318	3.58269193155084	0.192	0.008	2.66761175618047e-314
EID1	1.76600800712079e-318	1.1772125379998	0.914	0.595	4.67073797723305e-314
THSD7A	1.95876277818929e-318	2.32064005354342	0.478	0.108	5.18053579575503e-314
MXRA5	7.84521898374857e-318	3.58355862518007	0.273	0.029	2.07490351682182e-313
CEBPD	1.1607011165202e-314	1.78355408065878	0.916	0.504	3.06982231297263e-310
KITLG	1.87392643590841e-313	2.32636715292728	0.507	0.129	4.95616063769057e-309
HGF	2.16953662948247e-313	3.04142305386032	0.285	0.032	5.73799047765524e-309
SYT1	1.25032539343207e-312	3.20814715242668	0.378	0.068	3.30686060054913e-308
FHL1	1.8828138217878e-312	2.70882907468366	0.383	0.068	4.97966599586437e-308
RBFOX1	4.25166559694085e-312	3.4298907677099	0.299	0.038	1.12448051707892e-307
VIM	9.96062195208368e-312	1.06612014797862	0.985	0.656	2.63438529388709e-307
APOD	1.03918000559929e-311	4.10196954151281	0.58	0.21	2.748423278809e-307
MAPK10	3.46554439671875e-311	1.70927085304997	0.73	0.268	9.16567182044176e-307
BDH2	5.1148312220889e-309	2.00140272732389	0.615	0.222	1.35277056161807e-304
AC079298.3	7.51241178825272e-309	5.46309046867813	0.167	0.005	1.98688266975708e-304
PLEKHA5	3.90735653113725e-308	2.18728505794051	0.697	0.297	1.03341765535518e-303
LRRN4CL	4.3404121357663e-308	4.69334795486032	0.17	0.005	1.14795220166747e-303
COPZ2	7.22156094276479e-307	2.33279370431991	0.404	0.081	1.90995843814243e-302
CYBRD1	1.99114095042166e-306	2.13756778583049	0.518	0.146	5.2661695856752e-302
ESR1	6.53311875888214e-306	3.23535479665053	0.294	0.036	1.72787924934915e-301
ATP1B2	1.08278584633204e-305	3.50038161703529	0.303	0.041	2.86375200637899e-301
SELENBP1	3.76283710196476e-305	3.09127218893011	0.381	0.074	9.9519515672764e-301
CASC15	3.88854287561518e-305	1.82376070577701	0.495	0.119	1.0284418197427e-300
FEZ1	4.29902891228374e-305	2.58645963365444	0.328	0.049	1.1370071667208e-300
COL4A3	9.81803490812105e-304	3.7375534329527	0.222	0.016	2.59667387249986e-299
TRPC1	6.32408267026136e-303	2.60449125956953	0.428	0.093	1.67259338463072e-298
G0S2	2.06775067292265e-301	2.16925703494827	0.401	0.079	5.46878697974582e-297
SNAI2	4.55120925981629e-301	2.62311747501544	0.425	0.096	1.20370382503621e-296
PTPN13	5.70908573797216e-301	2.20838721205013	0.599	0.204	1.50993899597888e-296
SMIM41	1.49234638728302e-299	2.38968566588401	0.511	0.149	3.94695772508614e-295
TMEM119	6.26976553814032e-299	3.74265270117299	0.172	0.006	1.65822758952735e-294
MDK	8.70332134484615e-298	1.81335711856626	0.741	0.337	2.30185442928491e-293
PHLDB1	1.01079970972867e-297	2.72905192463978	0.441	0.107	2.6733630722904e-293
CLMN	3.60308257272033e-296	2.91179015858156	0.528	0.166	9.52943278833074e-292
RNF180	1.50243708728089e-294	2.89647457732091	0.455	0.118	3.9736456084405e-290
ADGRD1	1.11799088469444e-293	5.24928366191134	0.163	0.005	2.95686229183984e-289
C1QTNF7	1.83563485263542e-293	4.54102427481772	0.182	0.008	4.85488705825015e-289
SYNDIG1	4.50560037501048e-293	5.04773768955747	0.151	0.003	1.19164118718277e-288
C1QTNF4	4.75418290859717e-293	3.59145663262321	0.198	0.012	1.25738629566578e-288
CPQ	1.7604710710041e-292	1.57030777993026	0.743	0.348	4.65609388859164e-288
APCDD1	1.8242248032149e-290	2.2465380671076	0.526	0.158	4.82470975954276e-286
COL16A1	2.15465967657491e-289	3.57333759236396	0.253	0.027	5.69864391260533e-285
TSPAN4	1.84778090806984e-288	1.73500441155925	0.589	0.192	4.88701094566312e-284
AC105383.1	1.04053322608426e-287	4.96711373739729	0.143	0.002	2.75200227634765e-283
MATN2	4.05122192128243e-287	2.24353714166624	0.534	0.16	1.07146717374078e-282
LINC01798	6.13688685949918e-285	4.79162017045824	0.169	0.007	1.62308383660034e-280
MT1A	7.78613399691839e-285	2.0456467010838	0.326	0.052	2.05927671950498e-280
EPB41L2	2.79088244879549e-284	1.26532565690524	0.637	0.208	7.3813259005743e-280
MXRA7	5.0832731771443e-284	1.59397850738743	0.624	0.24	1.34442408989112e-279
ELN	1.80522296205349e-283	3.46485029436431	0.292	0.041	4.77445369003907e-279
SERPINE2	1.81879644673961e-283	2.92595907443465	0.377	0.076	4.81035284233693e-279
NEURL1B	4.72993195787479e-283	2.60214316396594	0.39	0.08	1.25097240421872e-278
CNN3	5.78119757479106e-283	1.29855061075206	0.8	0.365	1.52901113458074e-278
LINC01482	7.32610651399151e-283	4.96250059988313	0.182	0.01	1.93760865082048e-278
DCLK1	8.84857356782197e-283	3.80313741130396	0.238	0.023	2.34027073721756e-278
ANGPTL1	6.22552332607205e-281	2.4191787712395	0.376	0.074	1.64652640927953e-276
COL23A1	7.08513277601481e-281	3.31944975025144	0.283	0.038	1.8738759166004e-276
IL13RA2	1.10089474683506e-280	3.79986533868211	0.156	0.005	2.91164642642936e-276
ATP1A2	2.10448675215437e-280	5.25569995141019	0.154	0.005	5.56594656209787e-276
DZIP1	4.15805828036099e-280	3.2061591698505	0.269	0.034	1.09972325398987e-275
RGS22	1.53986995501903e-279	4.55203395225921	0.161	0.006	4.07264805703434e-275
RPS29	1.61511250771631e-279	-1.40089165155777	0.965	0.95	4.2716495604081e-275
PARVA	1.91089450468734e-277	2.07774558264926	0.565	0.2	5.05393378599708e-273
NDNF	5.14558439380659e-277	5.36810926799488	0.175	0.009	1.36090416047397e-272
TNS2	9.42287777886225e-277	1.94241780928141	0.516	0.148	2.49216271495349e-272
NTF3	1.99567525978864e-276	3.96988423341943	0.234	0.024	5.27816192708899e-272
PDZD2	8.95926073904054e-276	2.43658912987435	0.5	0.147	2.36954528026144e-271
FKBP10	1.80459338589221e-275	2.36160797047112	0.449	0.116	4.77278858700772e-271
DUBR	2.50279309401842e-275	3.02391965660805	0.388	0.087	6.61938717505992e-271
AC124854.1	3.85848353378014e-275	6.35647215036603	0.138	0.002	1.02049172501417e-270
RHOB	1.30430506785249e-274	1.60269610924484	0.854	0.476	3.44962604345627e-270
MSRB3	4.53932909569824e-274	2.15994436928734	0.491	0.134	1.20056175923027e-269
AKR1C1	3.14241607240272e-272	3.62521770431987	0.163	0.007	8.31106202829073e-268
SLC16A12	2.10869930121016e-271	5.32069377607173	0.175	0.009	5.57708791184063e-267
WNT4	6.29635504197805e-271	3.98526859333138	0.231	0.024	1.66525998150235e-266
GLI3	1.21535756026119e-269	2.68871440235526	0.367	0.075	3.21437767537878e-265
ITGA7	1.96085392578742e-269	4.15924250891499	0.248	0.029	5.18606646292256e-265
AGTR1	4.71410105896205e-269	4.22648214355064	0.249	0.03	1.24678544807428e-264
MYH11	2.61106475972589e-268	3.41998623771794	0.369	0.079	6.90574407652305e-264
PLCL1	4.27998185706167e-268	2.15724978893027	0.546	0.173	1.13196960155567e-263
ZNF536	4.35434410895037e-268	6.88252797880635	0.14	0.003	1.15163692993519e-263
CEBPB	4.67955196190176e-268	1.47398807496804	0.764	0.365	1.23764790288378e-263
PLCE1	5.31654868241755e-268	3.61321787240384	0.336	0.064	1.40612079552579e-263
MTHFD2	2.70725628799494e-267	2.28616417872141	0.54	0.185	7.16015143048902e-263
