p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
RORB	7.83595816744935e-31	-2.15685082634664	0.29	0.66	2.07245421612701e-26	0	RORB
LMCD1	9.00268447471371e-31	1.76663937272901	0.516	0.194	2.38102998987228e-26	0	LMCD1
MT1M	9.85390403205869e-31	1.69601673438276	0.706	0.405	2.60616053839888e-26	0	MT1M
NRP1	4.59359195867031e-30	1.33908237579133	0.75	0.433	1.21491320122912e-25	0	NRP1
MT2A	4.87094975915295e-30	0.928657512803181	0.948	0.818	1.28826879230077e-25	0	MT2A
GREB1L	6.17283255107126e-30	-6.24376622943207	0.012	0.389	1.63259075310733e-25	0	GREB1L
LHFPL6	7.85853142414461e-30	0.849730440142643	0.944	0.826	2.07842439105777e-25	0	LHFPL6
LINC00882	9.01722975600531e-30	-3.12923568574165	0.145	0.53	2.38487692586828e-25	0	LINC00882
NOTCH3	9.54767804092093e-30	1.07624315571443	0.794	0.398	2.52516988826277e-25	0	NOTCH3
CYTL1	1.05189779880329e-29	-7.56831277197722	0.004	0.377	2.78205929827493e-25	0	CYTL1
IFITM3	1.23762760748587e-29	0.691638344660607	0.996	0.955	3.27327749627864e-25	0	IFITM3
CPED1	1.39859808584727e-29	-2.4571578925365	0.137	0.536	3.69901221744886e-25	0	CPED1
BNC2	1.43935009250961e-29	-5.91155610539854	0.008	0.383	3.80679312466942e-25	0	BNC2
TMEM176B	1.77148605253998e-29	2.02626012362231	0.54	0.237	4.68522631175774e-25	0	TMEM176B
MSI2	2.13322324530324e-29	-2.93001408276649	0.089	0.488	5.64194883917802e-25	0	MSI2
CADPS2	2.65941756983952e-29	-2.575154607833	0.101	0.504	7.03362758871157e-25	0	CADPS2
AC063944.1	3.14228072055484e-29	-3.40120356177095	0.089	0.477	8.31070404972344e-25	0	AC063944.1
KAZN	3.40674784306496e-29	-3.31925872403313	0.101	0.491	9.01016669533822e-25	0	KAZN
PLEKHA5	4.01329420110089e-29	-1.68891881777659	0.431	0.747	1.06143605030716e-24	0	PLEKHA5
RPS19	6.70049689848437e-29	0.596064075111553	1	0.966	1.77214741971115e-24	0	RPS19
SEPTIN7	8.78283874070928e-29	0.689324911994321	0.984	0.937	2.32288519014279e-24	0	SEPTIN7
NPY1R	9.58667191779445e-29	2.59468840532096	0.294	0.066	2.53548298881828e-24	0	NPY1R
ABCC9	1.24523179177294e-28	1.28483434378237	0.706	0.362	3.29338904288106e-24	0	ABCC9
DANT2	1.43674594159613e-28	-3.92775754792033	0.032	0.408	3.79990566633344e-24	0	DANT2
CCL26	1.46411564096534e-28	2.20043917292087	0.286	0.063	3.87229304722513e-24	0	CCL26
TSHZ2	1.61562526818648e-28	-3.09175214932321	0.085	0.469	4.2730057092996e-24	0	TSHZ2
PMP22	2.41319372862623e-28	1.18948413359465	0.835	0.663	6.38241477347065e-24	0	PMP22
RPS8	3.51547989708733e-28	0.515089018806982	1	0.98	9.29774123181658e-24	0	RPS8
PCOLCE2	4.16968286871573e-28	-5.17020013251425	0.02	0.383	1.10279772511794e-23	0	PCOLCE2
ALKAL2	7.38414108242427e-28	2.30381481790448	0.323	0.083	1.95295763347957e-23	0	ALKAL2
NEBL	1.0967321962844e-27	-6.64371262041584	0.008	0.361	2.90063731273299e-23	0	NEBL
PDLIM1	1.124857444219e-27	1.21391751325147	0.778	0.595	2.97502296847042e-23	0	PDLIM1
HS6ST2	1.88067244088802e-27	-6.91901805028409	0.004	0.355	4.97400247166064e-23	0	HS6ST2
TIMP3	2.48598828029231e-27	0.681807920610931	1	0.981	6.57494180371709e-23	0	TIMP3
SRD5A2	3.58689258207922e-27	-7.54646916361204	0	0.346	9.48661350108312e-23	0	SRD5A2
COL13A1	3.58689308606574e-27	-7.39187768674425	0	0.346	9.48661483402666e-23	0	COL13A1
SGCD	3.65533839109723e-27	-3.65849134886454	0.044	0.409	9.66763897677396e-23	0	SGCD
SMOC1	7.09739907793525e-27	-4.27283309973005	0.024	0.38	1.87712010813231e-22	0	SMOC1
MYL6	7.3019427136777e-27	0.625845352941548	0.992	0.944	1.93121780891348e-22	0	MYL6
HES4	7.75254611636769e-27	1.14894792990673	0.726	0.382	2.05039339685693e-22	0	HES4
LINC01082	8.32425584211687e-27	-7.43205489061215	0	0.343	2.20159918512307e-22	0	LINC01082
TRHDE	1.15956714741787e-26	-6.47488285858448	0.008	0.35	3.06682319149079e-22	0	TRHDE
SLC8A1	1.82363426615297e-26	-2.72400068646395	0.065	0.434	4.82314790712137e-22	0	SLC8A1
CFD	1.9534354039396e-26	-2.50707555968688	0.44	0.682	5.16644595633946e-22	0	CFD
APOE	2.05958155609818e-26	1.41327267132527	0.786	0.525	5.44718129956848e-22	0	APOE
IGFBP7	2.97349398433898e-26	0.611298919346965	1	0.989	7.86429688977974e-22	0	IGFBP7
RBFOX1	3.88434898027899e-26	-5.59025538809208	0.012	0.353	1.02733261830419e-21	0	RBFOX1
TCF21	4.15610558622107e-26	-2.34605397711307	0.347	0.638	1.09920680544375e-21	0	TCF21
CLMP	5.20950057233556e-26	-7.5496520644901	0	0.334	1.37780871137131e-21	0	CLMP
F3	5.3989393129521e-26	-3.71896946384493	0.048	0.398	1.42791146948957e-21	0	F3
DPT	6.27518051408636e-26	-3.25167634576246	0.065	0.422	1.65965974236556e-21	0	DPT
OLFML2B	7.9277177545819e-26	2.13904211996893	0.363	0.113	2.09672279173182e-21	0	OLFML2B
CPVL	9.30244312236915e-26	-5.70402291439614	0.004	0.339	2.46031015700419e-21	0	CPVL
MT1A	9.75857893296837e-26	1.86141309137479	0.569	0.281	2.58094895619148e-21	0	MT1A
TPM1	1.20933662582589e-25	0.814524490336361	0.964	0.87	3.19845350798432e-21	0	TPM1
NCKAP5	1.75962118427511e-25	0.844128712826165	0.718	0.366	4.65384610817081e-21	0	NCKAP5
PDE4D	2.07047650075092e-25	-2.31629580911509	0.177	0.553	5.47599624918604e-21	0	PDE4D
LRFN5	2.07462309416479e-25	-2.75902941527564	0.113	0.471	5.48696315944704e-21	0	LRFN5
MUSTN1	2.23705612334558e-25	0.843522037671439	0.565	0.223	5.91656603502438e-21	0	MUSTN1
EMILIN1	2.59780815909199e-25	-2.5019532300666	0.097	0.457	6.87068301916649e-21	0	EMILIN1
CCSER1	3.3149439111968e-25	-5.96132182551475	0.012	0.342	8.76736365633331e-21	0	CCSER1
OGN	3.48697963443202e-25	-2.89131478397945	0.065	0.411	9.22236373714581e-21	0	OGN
KCNJ8	5.55327799702288e-25	1.2113282761431	0.593	0.285	1.46873096465261e-20	0	KCNJ8
MYL12A	5.67463657371726e-25	0.887287657490083	0.899	0.81	1.50082788101674e-20	0	MYL12A
CPE	8.50620596055991e-25	1.06183668867459	0.839	0.576	2.24972135244888e-20	0	CPE
SLIT2	9.62809692518962e-25	-1.6997278422474	0.456	0.734	2.54643907477415e-20	0	SLIT2
MAPK10	1.15775840142972e-24	-1.43673603042237	0.48	0.777	3.06203942010133e-20	0	MAPK10
SYNPO2	1.24361223316816e-24	0.803931677019904	0.891	0.707	3.28910563428315e-20	0	SYNPO2
EPHA3	1.45718381449298e-24	-1.35637011750434	0.544	0.814	3.85395975257103e-20	0	EPHA3
GGT5	1.84603818886445e-24	1.13184505563793	0.806	0.63	4.8824018019087e-20	0	GGT5
SFRP1	1.98811167245959e-24	-3.58252922631368	0.093	0.429	5.25815775132113e-20	0	SFRP1
RPS7	1.99098933217202e-24	0.554075555954772	0.988	0.96	5.26576858572857e-20	0	RPS7
PTMA	2.22606734720724e-24	0.619238621546463	1	0.975	5.88750291989371e-20	0	PTMA
FLRT2	2.63269243314397e-24	-3.15761277108751	0.081	0.423	6.96294494717918e-20	0	FLRT2
AUTS2	2.92764378817737e-24	-1.8020762473853	0.335	0.668	7.74303229097151e-20	0	AUTS2
HLA-C	3.60830376844484e-24	0.645772713444824	0.992	0.927	9.54324180678292e-20	0	HLA-C
TWIST2	4.53390898130005e-24	-2.81690429942153	0.085	0.424	1.19912824737424e-19	0	TWIST2
TPT1	4.6172846579762e-24	0.474026673944087	1	0.992	1.22117944634154e-19	0	TPT1
RPL29	5.37756449241806e-24	0.536196232196809	0.996	0.972	1.42225825695473e-19	0	RPL29
GUCY1A2	6.09120571876661e-24	0.761474629786254	0.633	0.277	1.61100208849939e-19	0	GUCY1A2
NFIX	6.47413565998989e-24	-1.88715388023524	0.206	0.557	1.71227939935413e-19	0	NFIX
PCDH7	6.82415003182298e-24	-5.11556654031167	0.008	0.326	1.80485120041654e-19	0	PCDH7
CXCL13	7.47095924250465e-24	-4.43355177173005	0.044	0.368	1.97591930045763e-19	0	CXCL13
ANO4	7.723449187832e-24	-5.54151239099916	0.012	0.329	2.04269784119781e-19	0	ANO4
MT1E	1.05347128898927e-23	1.11876375414178	0.758	0.499	2.78622086511881e-19	0	MT1E
FGFR1	1.17022326446367e-23	-2.19117437016101	0.145	0.5	3.09500648985351e-19	0	FGFR1
LUM	1.49158506589776e-23	-1.72838755732962	0.714	0.805	3.9449441822864e-19	0	LUM
AC124852.1	1.56537234743527e-23	-2.74568056860622	0.081	0.421	4.1400967844968e-19	0	AC124852.1
LPAR1	1.88886787984813e-23	-1.94887993443891	0.161	0.511	4.99567776862233e-19	0	LPAR1
CTSB	3.05330917697145e-23	-1.37205640924642	0.395	0.692	8.07539211125409e-19	0	CTSB
MXRA5	4.28740977769321e-23	-5.01892508053487	0.012	0.322	1.1339341380043e-18	0	MXRA5
UNC5C	4.42089368192422e-23	-1.66018335559117	0.335	0.669	1.16923796099532e-18	0	UNC5C
MMP23B	5.46302636500823e-23	-2.81340960429441	0.105	0.432	1.44486121301738e-18	0	MMP23B
MRC2	5.70619578614682e-23	-3.03411921073682	0.048	0.377	1.50917466152011e-18	0	MRC2
PLCB1	6.40754743601749e-23	-1.8498840903091	0.31	0.632	1.69466814587791e-18	0	PLCB1
ZEB1	6.88465450093376e-23	-1.27976058370749	0.383	0.718	1.82085342240696e-18	0	ZEB1
WNT2	7.31813892505869e-23	-7.17865150181397	0	0.3	1.93550138289952e-18	0	WNT2
TMEM100	9.96130814894862e-23	-2.41537245104646	0.121	0.459	2.63456677923393e-18	0	TMEM100
HTRA3	1.00063149114709e-22	-4.82040876223634	0.008	0.313	2.64647016778582e-18	0	HTRA3
EYA4	1.00913024909141e-22	-2.28490312905563	0.113	0.457	2.66894768279695e-18	0	EYA4
LINC00924	1.02504413107506e-22	2.19559378385716	0.294	0.083	2.71103671786731e-18	0	LINC00924
AC018647.1	1.18119595640976e-22	2.42674808592615	0.294	0.084	3.12402706551254e-18	0	AC018647.1
RPL18	1.86923341037563e-22	0.4778593200418	0.996	0.963	4.94374852376148e-18	0	RPL18
PDGFC	2.07396290004156e-22	-3.08054830713147	0.048	0.368	5.48521707802991e-18	0	PDGFC
SPON1	2.43650327417257e-22	-3.08257402238372	0.04	0.358	6.44406385953162e-18	0	SPON1
DCN	2.90507815250583e-22	-1.35965447767876	0.879	0.9	7.68335069774742e-18	0	DCN
LTBP4	3.2586162160266e-22	-1.72625657054893	0.536	0.685	8.61838816814715e-18	0	LTBP4
CXCL6	3.56372653424181e-22	3.16299065367591	0.153	0.02	9.42534393776274e-18	0	CXCL6
LINC00989	4.06447955529198e-22	1.24060892232202	0.516	0.223	1.07497355278362e-17	0	LINC00989
MKX	4.17134710160674e-22	-2.24248462726381	0.121	0.462	1.10323788143295e-17	0	MKX
LRP1	7.41551675117528e-22	-1.30364622560804	0.278	0.625	1.96125587035084e-17	0	LRP1
COX4I2	7.6820694154532e-22	0.597941699250307	0.831	0.518	2.03175371899906e-17	0	COX4I2
AFF3	8.93908449634156e-22	-2.24258780678617	0.214	0.534	2.36420906759242e-17	0	AFF3
H2AFJ	1.12941569496814e-21	0.974133928615881	0.806	0.706	2.98707863005173e-17	0	H2AFJ
PHACTR2	1.41933532935038e-21	-1.85682827959777	0.149	0.482	3.75385807906588e-17	0	PHACTR2
COL15A1	1.82836683510256e-21	-2.47760564508365	0.101	0.424	4.83566460547925e-17	0	COL15A1
FBXL7	1.9407988806321e-21	-1.87090941321758	0.246	0.578	5.13302487949577e-17	0	FBXL7
KCNE4	3.05296956678903e-21	1.04089212747148	0.56	0.262	8.07449391024362e-17	0	KCNE4
LURAP1L	3.0736786920539e-21	0.982019999788516	0.673	0.374	8.12926540474415e-17	0	LURAP1L
RPL8	3.07496553539931e-21	0.490360706232319	0.992	0.965	8.1326688480241e-17	0	RPL8
RRBP1	3.1595633435434e-21	-1.24045541647751	0.347	0.679	8.35641313100359e-17	0	RRBP1
PCDH10	3.35295015863832e-21	-2.05213604504934	0.181	0.504	8.86788257956663e-17	0	PCDH10
ANTXR2	3.61320574163623e-21	-1.52795155606219	0.266	0.606	9.5562065454795e-17	0	ANTXR2
ARID5B	4.1191365930534e-21	0.988939710761704	0.798	0.558	1.08942924613076e-16	0	ARID5B
ABCA8	4.29346755685578e-21	-1.8350159849626	0.31	0.613	1.13553629943722e-16	0	ABCA8
KIAA1217	4.4007443055736e-21	-3.14558211191861	0.065	0.374	1.16390885393811e-16	0	KIAA1217
EPS8	6.40695571555981e-21	0.577895500273095	0.931	0.753	1.69451164765126e-16	0	EPS8
RPL13	6.67600023456951e-21	0.41045311669691	0.996	0.991	1.76566854203894e-16	0	RPL13
NRK	7.80406488188927e-21	-6.02644638142454	0.008	0.288	2.06401907996207e-16	0	NRK
RPL18A	7.88154242763713e-21	0.549546459574295	0.984	0.965	2.08451034126147e-16	0	RPL18A
FABP5	8.47431292031279e-21	-1.66433132382789	0.27	0.583	2.24128628116433e-16	0	FABP5
PWWP3B	8.91683595588993e-21	-3.92417907843228	0.024	0.316	2.35832477361377e-16	0	PWWP3B
RGS7BP	1.0087430005472e-20	-2.30689511969963	0.093	0.41	2.66792348784725e-16	0	RGS7BP
ALDH1A2	1.06848807288279e-20	-3.26997079042334	0.048	0.346	2.82593725516041e-16	0	ALDH1A2
RGS5	1.09679618751767e-20	0.28390271527491	0.956	0.541	2.90080655674674e-16	0	RGS5
PAM	1.13317113471654e-20	-1.62630831267958	0.173	0.517	2.9970110170983e-16	0	PAM
TPPP3	1.2210834512592e-20	1.40779806269345	0.532	0.266	3.22952151189035e-16	0	TPPP3
DLX5	1.23188860545008e-20	1.44009347149959	0.435	0.179	3.25809898369437e-16	0	DLX5
NAV3	1.26539066142311e-20	-4.96949581923328	0.016	0.299	3.34670522133185e-16	0	NAV3
GALNT13	1.31739170258465e-20	-7.17942257565159	0.004	0.28	3.48423757499589e-16	0	GALNT13
PMEPA1	1.38799595616174e-20	0.882407831288851	0.855	0.677	3.67097170485657e-16	0	PMEPA1
TNIK	2.36697119603321e-20	-3.90076343629088	0.02	0.306	6.26016541926862e-16	0	TNIK
VCAN	2.51502628490864e-20	-3.4978700203814	0.032	0.323	6.65174151832638e-16	0	VCAN
MYH11	2.8320526180375e-20	0.212547113795661	0.653	0.316	7.49021276418559e-16	0	MYH11
MTHFD2	3.35038700686722e-20	0.996651571355537	0.75	0.501	8.86110355576242e-16	0	MTHFD2
KCNIP1	3.72747446237368e-20	-5.87691941352185	0.008	0.282	9.85842445808591e-16	0	KCNIP1
NT5E	3.83598079209783e-20	-6.48759352826115	0	0.269	1.01454019989403e-15	0	NT5E
RPL35A	4.23800945610727e-20	0.420899034422686	0.996	0.966	1.12086874095125e-15	0	RPL35A
SPECC1	5.00629157890075e-20	1.14294428991808	0.46	0.19	1.32406399678767e-15	0	SPECC1
WNT4	5.18158080360393e-20	-5.91660561950455	0.004	0.274	1.37042449093717e-15	0	WNT4
SMIM41	5.56998266964089e-20	-1.40380247190718	0.222	0.565	1.47314901646662e-15	0	SMIM41
PBX3	5.62321085484735e-20	-1.41115903529093	0.258	0.584	1.48722680689003e-15	0	PBX3
WDR86	6.24971067352954e-20	2.60905953871845	0.238	0.063	1.65292347893509e-15	0	WDR86
RPL10	6.48618099785311e-20	0.434189331800445	0.996	0.978	1.71546515031219e-15	0	RPL10
CLSTN2	7.03921076532903e-20	1.67480241183006	0.315	0.1	1.86173046321422e-15	0	CLSTN2
FGF7	7.33751441239181e-20	-1.77158142632644	0.129	0.452	1.94062581178939e-15	0	FGF7
TAGLN2	9.54356833106093e-20	0.709585802701425	0.907	0.846	2.52408295219899e-15	0	TAGLN2
NGF	1.01619030483885e-19	1.16362564131085	0.488	0.221	2.6876201182378e-15	0	NGF
PDE1A	1.14054978340027e-19	1.46692467741646	0.423	0.173	3.01652606713703e-15	0	PDE1A
COL4A4	1.31542047431164e-19	-3.59909026407756	0.024	0.304	3.47902407045943e-15	0	COL4A4
HPSE2	1.33467338679645e-19	-2.54268523226451	0.093	0.401	3.52994417339924e-15	0	HPSE2
FAIM2	1.8058268427795e-19	-5.41911052457893	0.004	0.269	4.77605083378321e-15	0	FAIM2
SFRP4	1.86410185899111e-19	2.20334790368141	0.218	0.053	4.93017659665969e-15	0	SFRP4
CPM	1.99992802578503e-19	0.663185297927063	0.823	0.522	5.28940964259625e-15	0	CPM
PREX2	2.03061259638993e-19	-2.03135589804642	0.137	0.446	5.37056419493208e-15	0	PREX2
ROR1	2.19697139780927e-19	-2.60763907901121	0.097	0.396	5.81054995292595e-15	0	ROR1
PODN	2.76457736661273e-19	-2.10497027907637	0.19	0.478	7.31175421921735e-15	0	PODN
TMEM132C	2.78807671725091e-19	-2.36484999967202	0.133	0.439	7.3739053017852e-15	0	TMEM132C
PLA2G5	2.86797553758302e-19	0.744869234922152	0.593	0.296	7.58522170179958e-15	0	PLA2G5
TNFSF10	2.89581768167723e-19	-2.80782512083823	0.081	0.371	7.65885860449993e-15	0	TNFSF10
RPL19	3.1875685995615e-19	0.455829455875191	1	0.978	8.43048143212025e-15	0	RPL19
RPS15	3.30878294214143e-19	0.423858106954043	1	0.979	8.75106912537565e-15	0	RPS15
ABLIM1	3.64150635539902e-19	-4.25979113562737	0.016	0.284	9.63105600875932e-15	0	ABLIM1
